epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4154,1.4847,3.34726,1.91777,0.00511,0.89893,0.26147,0.15037,1.27007,3.4534,1.87672,0.000410714,0.000410714,0.000410714
2,34.3497,1.32581,2.57266,1.72609,0.55715,0.2768,0.2774,0.1154,1.83555,3.15403,2.44469,0.000810999,0.000810999,0.000810999
3,51.4301,1.35277,2.24116,1.67937,0.2659,0.59892,0.25073,0.13551,1.50994,2.95415,2.11102,0.00119478,0.00119478,0.00119478
4,67.1807,1.26012,2.0045,1.62377,0.28848,0.74219,0.31468,0.18522,1.44992,2.41588,2.0374,0.00117575,0.00117575,0.00117575
5,82.9526,1.22376,1.91489,1.58983,0.19138,0.68777,0.2347,0.13757,1.37271,2.58878,1.96147,0.001151,0.001151,0.001151
6,98.6745,1.20225,1.79832,1.56446,0.24718,0.49618,0.27658,0.14759,1.42846,2.5037,2.03473,0.00112625,0.00112625,0.00112625
7,116.348,1.18618,1.67499,1.57275,0.32527,0.79508,0.42361,0.26195,1.33926,1.9002,1.85098,0.0011015,0.0011015,0.0011015
8,138.204,1.17194,1.62088,1.54434,0.32513,0.79859,0.37737,0.22511,1.42521,1.96396,1.92429,0.00107675,0.00107675,0.00107675
9,161.015,1.16871,1.54402,1.52309,0.30486,0.84597,0.41567,0.25099,1.40606,1.75392,1.89725,0.001052,0.001052,0.001052
10,183.099,1.18553,1.49099,1.53936,0.32171,0.9144,0.41654,0.26258,1.33241,1.67724,1.81268,0.00102725,0.00102725,0.00102725
11,205.316,1.1263,1.44211,1.51343,0.3074,0.89177,0.42116,0.27581,1.23641,1.61189,1.76145,0.0010025,0.0010025,0.0010025
12,226.756,1.12984,1.42734,1.49061,0.34815,0.81254,0.46133,0.29267,1.2986,1.58864,1.83925,0.00097775,0.00097775,0.00097775
13,247.316,1.10891,1.36243,1.46835,0.33955,0.89696,0.4664,0.29763,1.27104,1.47156,1.82511,0.000953,0.000953,0.000953
14,267.737,1.12943,1.37249,1.48588,0.32566,0.90484,0.42938,0.27625,1.41224,1.5413,1.86952,0.00092825,0.00092825,0.00092825
